dateStr time radId
20120222 500 204.0
20120222 500 207.0
20120222 500 205.0
20120222 500 33.0
20120222 600 32.0
20120222 600 206.0
20120222 600 207.0
20120222 600 204.0
20120222 600 33.0
20120226 730 204.0
20120226 730 33.0
20120226 730 205.0
20120226 730 206.0
20120226 730 207.0
20120309 200 206.0
20120309 200 204.0
20120309 200 207.0
20120309 200 33.0
20120309 200 205.0
20120309 330 206.0
20120309 330 204.0
20120309 330 207.0
20120309 330 33.0
20120309 330 32.0
20120309 400 206.0
20120309 400 207.0
20120309 400 204.0
20120309 400 205.0
20120309 400 33.0
20120310 130 207.0
20120310 130 204.0
20120310 130 33.0
20120310 130 205.0
20120310 130 32.0
20120310 200 206.0
20120310 200 204.0
20120310 200 207.0
20120310 200 33.0
20120310 200 205.0
20120310 200 32.0
20120310 230 206.0
20120310 230 204.0
20120310 230 207.0
20120310 230 33.0
20120310 230 205.0
20120310 230 32.0
20120310 300 206.0
20120310 300 204.0
20120310 300 207.0
20120310 300 205.0
20120310 300 33.0
20120310 330 206.0
20120310 330 204.0
20120310 330 207.0
20120310 330 33.0
20120311 400 206.0
20120311 400 207.0
20120311 400 204.0
20120311 400 205.0
20120311 500 32.0
20120311 500 206.0
20120311 500 207.0
20120311 500 204.0
20120311 530 32.0
20120311 530 206.0
20120311 530 204.0
20120311 530 207.0
20120311 530 205.0
20120311 600 33.0
20120311 600 205.0
20120311 600 206.0
20120311 600 207.0
20120311 600 204.0
20120311 630 33.0
20120311 630 205.0
20120311 630 32.0
20120311 630 206.0
20120311 630 207.0
20120311 630 204.0
20120313 400 206.0
20120313 400 204.0
20120313 400 207.0
20120313 400 205.0
20120313 430 206.0
20120313 430 204.0
20120313 430 207.0
20120313 430 33.0
20120313 430 205.0
20120314 330 207.0
20120314 330 204.0
20120314 330 205.0
20120314 330 33.0
20120314 330 32.0
20120314 400 206.0
20120314 400 204.0
20120314 400 207.0
20120314 400 205.0
20120314 400 33.0
20120314 400 32.0
20120314 500 206.0
20120314 500 204.0
20120314 500 207.0
20120314 500 33.0
20120314 500 205.0
20120314 530 206.0
20120314 530 204.0
20120314 530 207.0
20120314 530 33.0
20120314 530 205.0
20120315 330 207.0
20120315 330 33.0
20120315 330 204.0
20120315 330 205.0
20120315 330 32.0
20120315 400 207.0
20120315 400 204.0
20120315 400 33.0
20120315 400 205.0
20120315 400 32.0
20120315 430 204.0
20120315 430 207.0
20120315 430 33.0
20120315 430 205.0
20120315 500 204.0
20120315 500 207.0
20120315 500 205.0
20120315 500 33.0
20120315 530 33.0
20120315 530 207.0
20120315 530 204.0
20120315 530 205.0
20120315 600 33.0
20120315 600 32.0
20120315 600 207.0
20120315 600 204.0
20120315 600 205.0
20120316 30 205.0
20120316 30 33.0
20120316 30 207.0
20120316 30 32.0
20120316 100 206.0
20120316 100 207.0
20120316 100 205.0
20120316 100 33.0
20120316 100 32.0
20120316 130 206.0
20120316 130 207.0
20120316 130 204.0
20120316 130 33.0
20120316 130 205.0
20120316 200 206.0
20120316 200 204.0
20120316 200 207.0
20120316 200 205.0
20120316 200 33.0
20120316 230 206.0
20120316 230 207.0
20120316 230 204.0
20120316 230 33.0
20120316 230 205.0
20120316 300 206.0
20120316 300 207.0
20120316 300 204.0
20120316 300 205.0
20120316 330 206.0
20120316 330 204.0
20120316 330 207.0
20120316 330 205.0
20120316 400 206.0
20120316 400 207.0
20120316 400 204.0
20120316 400 205.0
20120318 300 206.0
20120318 300 207.0
20120318 300 204.0
20120318 300 205.0
20120318 300 33.0
20120318 330 204.0
20120318 330 206.0
20120318 330 207.0
20120318 330 33.0
20120318 330 205.0
20120318 400 204.0
20120318 400 206.0
20120318 400 207.0
20120318 400 205.0
20120319 430 206.0
20120319 430 204.0
20120319 430 207.0
20120319 430 33.0
20120319 430 205.0
20120319 500 206.0
20120319 500 207.0
20120319 500 204.0
20120319 500 205.0
20120319 500 33.0
20120324 700 33.0
20120324 700 207.0
20120324 700 206.0
20120324 700 204.0
20120327 630 33.0
20120327 630 205.0
20120327 630 32.0
20120327 630 206.0
20120327 630 204.0
20120327 630 207.0
20120327 700 204.0
20120327 700 205.0
20120327 700 207.0
20120327 700 33.0
20120327 700 32.0
20120327 700 206.0
20120328 200 206.0
20120328 200 207.0
20120328 200 204.0
20120328 200 205.0
20120328 400 32.0
20120328 400 206.0
20120328 400 207.0
20120328 400 204.0
20120328 400 205.0
20120328 530 206.0
20120328 530 204.0
20120328 530 207.0
20120328 530 205.0
20120328 600 33.0
20120328 600 205.0
20120328 600 206.0
20120328 600 204.0
20120328 600 207.0
20120328 630 33.0
20120328 630 205.0
20120328 630 206.0
20120328 630 204.0
20120328 630 207.0
20120328 700 33.0
20120328 700 207.0
20120328 700 205.0
20120328 700 206.0
20120328 700 204.0
20120328 730 207.0
20120328 730 205.0
20120328 730 206.0
20120328 730 204.0
20120328 800 204.0
20120328 800 207.0
20120328 800 205.0
20120328 800 206.0
20120402 500 32.0
20120402 500 204.0
20120402 500 205.0
20120402 500 207.0
20120402 530 205.0
20120402 530 32.0
20120402 530 206.0
20120402 530 204.0
20120402 530 207.0
20120402 600 33.0
20120402 600 205.0
20120402 600 32.0
20120402 600 206.0
20120402 600 207.0
20120402 600 204.0
